Gene stable ID,Gene stable ID version,Human gene name,Human gene stable ID,"Human orthology confidence [0 low, 1 high]",Gene name,Source of gene name
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000095076,ENSMUSG00000095076.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000095672,ENSMUSG00000095672.2,SP110,ENSG00000135899,0,,
ENSMUSG00000094514,ENSMUSG00000094514.2,SP100,ENSG00000067066,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000094741,ENSMUSG00000094741.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000074720,ENSMUSG00000074720.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000094337,ENSMUSG00000094337.8,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000095570,ENSMUSG00000095570.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000096728,ENSMUSG00000096728.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000094836,ENSMUSG00000094836.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000094383,ENSMUSG00000094383.2,PRAMEF13,ENSG00000279169,0,,
